source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff,radius,logg
6170243926896213120,207.36109585015143,-34.451040500017236,,2.5794034,2.4403427,,,
6177092406867764352,207.25807843630366,-28.367913930233215,,4.0920744,5.6263466,,,
6171375049483037696,206.41939924808514,-33.044368166381204,51.90738085981107,4.144167,0.5374429,,,
6170485544575679104,207.95648516889636,-32.99421604932391,9.91038494851844,4.5131893,-0.19682121,14636.628,2.9927,4.1359
6171681877649374080,208.30218826696824,-31.927667152416067,4.8224852339217525,4.701439,-0.1408391,13389.204,6.5227,3.4273
6177432396478424576,210.59476439154622,-27.429796373161583,6.666214137027617,5.0377455,1.4912777,,,
6163848170836256128,206.73472439353793,-36.251981729180464,8.532775295540093,5.125829,0.024068832,,,
6175834462486641920,204.67485056915038,-29.561209333706493,19.613129522505428,5.731054,0.56677437,6477.4917,2.521,3.8289
6176913289551271552,208.56848167654172,-28.56990914777349,15.649808888530234,5.736545,1.2609138,,,
6169943210465504384,208.46531370856152,-35.31466309846839,15.626056122982622,5.9005704,1.1762052,4739.74,5.8378,2.8473
6122221863199412864,211.62501590203848,-34.89873256432502,2.1088528030847993,5.905961,2.350195,3718.3655,212.6078,0.677
6165341341986059520,205.43970000462625,-33.59736282832149,2.4007293731893014,5.9339623,2.551702,,,
6170485544575678592,207.95898078260976,-32.994780060997556,10.214771839815121,6.0395036,-0.039220333,10377.308,2.2189,4.0111
6168342630772513408,203.68128497327854,-33.31091155418763,5.137266328351833,6.084479,1.3985953,,,
6121891150715463296,208.38602787083045,-35.66435021390151,,6.1712246,0.6079397,,,
6121891150717475200,208.38578445791677,-35.664151454545234,,6.1872463,0.5465913,,,
6176972663179499648,207.5268525107504,-29.081462677388853,9.532929311243086,6.1899486,-0.019582272,10482.386,2.0481,4.2212
6165218402842055168,204.2106645628749,-34.46799183171697,8.183646812846785,6.1989756,1.182651,5015.1206,8.9975,2.846
6115831776496642304,207.90144490489396,-36.43378848360272,16.101803299963507,6.2231784,0.6527252,6224.259,2.6649,3.6666
6171821932239636736,208.9348677812925,-31.284935302078406,6.72848593048479,6.3023033,1.0536723,5132.146,8.899,2.8427
6124241666059624192,212.7159520643246,-32.07569920661109,3.4086886233739047,6.306517,1.3044481,4763.198,23.898,2.2312
6171751082459716992,208.0038354101003,-31.61929257561472,19.565512369803784,6.3332253,0.6134672,,,
6115742402520901120,207.42457945797207,-36.60685869401958,2.8561541467088256,6.342955,2.572422,,,
6172313448297170688,210.75729932007985,-31.683741117096677,24.581841696890464,6.3650656,0.61425114,,,
6176902260075230976,208.5668608892114,-28.743270187330847,6.0938820732700725,6.3937063,1.3974113,,,
6115593904028601472,208.54191774668405,-36.86403010914611,1.8116552696675987,6.4049263,2.02208,,,
6163964031871884672,207.22654259480674,-35.70499090650605,33.33783953620013,6.454297,0.7045336,6002.626,1.2252,4.287
6123498460622855168,214.5985964983055,-33.22073382354034,9.47672800521551,6.4790764,0.40553856,7554.1274,2.7054,3.844
6123135385563709440,214.07650589326474,-33.24131282595178,13.252383879314587,6.4991045,0.41924858,7243.129,2.1673,3.8829
6177542931756695424,209.13035686965506,-27.638118878325947,6.6131881653901905,6.5797496,1.1119828,5090.3823,8.9132,2.8714
6164998500516764160,205.26848139045305,-34.46489583665526,63.7262550996456,6.6976805,1.0220695,,,
6168697669949261056,203.8005803841713,-32.21252885907091,14.599894780704668,6.705867,0.4580679,6930.3623,1.8946,3.9838
6176876765149508992,209.3212135461625,-28.6352390914718,2.976903899711095,6.7113056,1.5828447,4357.359,30.4334,1.8181
6170091988132415232,208.65908182451943,-34.597884804362785,17.92386360532133,6.7413354,0.53757,6616.89,1.6304,4.0896
6172806235665052544,212.5540457631589,-30.62107518040989,8.232975404169919,6.744225,0.18795633,10151.613,2.2557,3.9949
6173738896402614272,209.54006969994026,-29.744439144704803,3.8929726297584284,6.798929,1.4755287,,,
6164057456002429440,206.3689544833685,-35.92544175900701,7.219281032955842,6.7991543,1.2378244,,,
