source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff,radius,logg
2612171866450404992,331.609473816884,-13.86993196356307,15.494008085988549,4.250913,-0.07257128,,,
2666164484444176256,326.2511216186486,-9.082436117183642,4.190616913207877,4.800738,1.2150321,5133.003,36.2219,1.9851
6840706910418152320,328.32546316145744,-13.551712410658338,37.33769197524785,4.9792275,0.5139127,6755.716,1.699,4.077
2666142975247905664,326.5678714681374,-9.275901617959965,3.4702728520168824,5.004647,2.4323277,,,
2600669325556486784,334.20020714671983,-12.831406089158993,7.428255208818954,5.0232334,1.2787566,,,
2620453353670948352,330.8187792557472,-6.522371234759138,10.757417507347025,5.2971354,1.1010303,5024.2446,9.6812,2.7621
2613067624829515008,332.65630953073827,-11.564899851474982,6.339396127652211,5.417349,-0.15902233,,,
2616117395207081472,334.2187739945085,-9.040099937117764,9.416294454615407,5.4661636,1.3031306,4508.8135,13.1972,2.1242
6844970679071847552,326.633869483806,-11.3659970940442,12.02525730021628,5.566116,-0.0068211555,10247.462,2.2732,3.9946
6893329704426700160,324.8671914458387,-10.577110629572292,10.178762636304961,5.7876787,1.1970873,4900.979,8.8966,2.7842
2614226407006255104,331.8255064059902,-10.446858160754099,2.5286733102073367,5.8390603,2.445023,,,
2600144755430782592,333.10739065945455,-14.19417687420384,22.626865654387352,5.951384,0.5194602,6686.3647,1.8712,3.9936
2618221581289625984,327.64803378506497,-8.982746350847675,8.372122587393328,6.1605654,1.3907337,4648.597,11.4619,2.5608
6843863127265189760,327.42086891297555,-12.722787888341221,7.94437709534784,6.279203,0.279068,7646.705,3.6059,3.5309
2613203032262836608,333.07043376576956,-11.065573422819083,1.6316256006068541,6.30579,2.314165,,,
2613975683995410432,332.63260236289096,-10.820260515155875,7.392111166422374,6.3557553,1.2279158,4793.483,10.391,2.6301
2619706544757416192,332.3748236763796,-7.550658877487583,46.851509694084825,6.3589854,0.908793,5444.522,1.1226,4.3441
6840420728156732544,329.25759213627714,-14.113452102945807,2.4720769049685423,6.416926,4.5185227,,,
2617529683533042560,329.1038037006087,-9.585857347960548,1.7523574732867138,6.5442243,3.0614448,,,
2617011568743752960,328.40022328758533,-10.311615341150874,2.184497186144047,6.562845,-0.1579771,13604.295,7.0145,3.4533
2666165893193456000,326.230740158816,-9.036229886319065,4.423531787594998,6.578393,1.5428824,4420.526,21.0908,2.0666
6843672087120107264,326.3417007918157,-12.783352283336647,24.527534260182925,6.585952,0.58433676,6448.214,1.3695,4.1283
2616998275819911680,328.25418833500333,-10.562781751154558,5.423021480329573,6.6174726,1.1745362,4905.1885,11.1424,2.4657
6840436258759444864,329.0317996965249,-14.035544008978718,1.6287598583238891,6.6673703,2.71179,,,
2600078097538338432,331.8973385021634,-14.490870444324381,6.706708002634195,6.6931553,0.18147802,9180.288,2.8271,3.9295
6839212021281393920,328.75109906930226,-15.258233752844003,3.256261137526667,6.7037315,1.4054022,,,
2619108169913819392,332.3622790952106,-8.18551244016515,5.057443091784641,6.7379127,1.1322594,5106.905,11.1109,2.6685
2613075218331521920,333.36001011832076,-11.926214295440008,4.6140479493068005,6.7413106,0.954947,5721.265,9.3829,2.8683
6839502906530650752,331.1161237108843,-14.446878063183586,2.5935865193984746,6.755862,1.7769504,,,
2618493405474743936,329.41401558106475,-8.564297629296073,3.8968952197578375,6.787747,-0.03785801,,,
2612307033365420032,332.1980569647745,-13.300514758625189,20.934637174259898,6.8074656,0.60593605,6385.191,1.4542,4.1629
6839283420817505280,330.3870919481059,-15.61204705231511,7.0114632292318735,6.828051,1.0603137,5320.4233,6.832,3.0661
6844193324351118336,326.67554014417044,-11.698427719893022,15.670631478570893,6.8981166,0.5876446,6444.834,1.8337,4.0156
2619201216085245824,330.7539687714454,-8.500038201228625,3.589250128157244,6.9724965,1.4075828,,,
2612913280884775040,334.1894234925583,-11.649215797801755,4.934274778960314,6.988868,1.166132,4857.204,10.9725,2.4731
2613816323528403200,332.14239019656645,-11.613636580041952,3.2603239311347587,6.999777,1.3097429,4861.104,18.7668,2.3659
6827419827792618368,331.55592542624964,-14.895946847472953,18.211830349703572,7.0143604,0.58980083,6490.502,1.5754,4.0079
6840872971033892608,329.601508898265,-12.66438382956133,29.196057382208483,7.015011,0.79368067,5704.5737,1.2031,4.2971
6839305372395260288,330.4691881778205,-15.398483818725607,1.7024631204978806,7.027862,3.1543784,3405.9163,137.9248,0.2958
2617670489740842496,329.8088349276986,-8.96985614220128,1.4052194811901226,7.0442452,2.8310385,,,
2617958767945945856,328.123714725789,-9.418077365082286,19.57398283542526,7.0997095,0.58726263,6450.402,1.3466,4.1869
2619430975360216832,333.1493690254779,-8.014164491326284,12.87758982457243,7.1127453,0.52850056,6685.2305,1.9357,3.8672
2620018359383123712,330.9131711588327,-7.78470385522097,1.6423281746619995,7.1134467,2.4634404,,,
6840628398416090880,329.62410418950003,-13.252204417244947,2.543399177040476,7.163395,1.2469196,,,
2619145003553256320,331.13122451489664,-8.717622151094814,13.651840539798632,7.1642823,0.4820652,6814.569,1.7706,4.0289
2612135067170531968,332.43730859757267,-13.891743043886306,1.6115018419320797,7.174388,2.2274709,,,
2614306980592483200,331.94347704592303,-10.078686323586822,4.458078384244813,7.1969585,1.199904,4681.19,11.2983,2.2494
6839184602210104192,329.7061781391303,-15.129402037755638,1.5008286612560708,7.237495,3.3893743,,,
2613232517214069888,330.2710957014002,-13.028023243171313,14.300336770559085,7.258193,0.5668483,6526.8545,1.6871,4.0789
6843703766798867072,326.5752578821516,-12.598756149402954,4.7047072199886655,7.2647886,1.1775126,5037.493,9.8463,2.7317
2617825967557598080,327.7737729901226,-10.037968067728935,13.802605323176076,7.2815857,1.0073066,,,
6839706835873275776,330.3631137872657,-14.327208200142575,4.732699029242774,7.319062,1.215694,4909.4937,9.7387,2.7229
2600160251672843008,333.2760567945606,-13.871233789841314,4.935371279593171,7.3300157,1.229712,4855.754,9.7218,2.7354
2666673249089780096,326.3108984660035,-7.483080466509639,1.1322048630675408,7.3319697,2.769227,,,
6839187728946309504,329.4477389343793,-15.123445547104733,5.941742364158184,7.3820543,0.1338954,9920.044,2.2091,4.0709
2620133739384530048,330.88438223951727,-7.45942637304793,1.4891631515475872,7.423515,2.3558922,,,
6893782982391182848,325.2402883797883,-9.142065859813203,4.7324581697886945,7.4298058,1.0550256,5079.8604,8.1988,2.8231
6893444161011078400,325.0496518541364,-9.79543999828077,18.032060828228502,7.4714656,0.72253466,5966.2935,1.4246,4.2096
6839799778965630848,330.15921173756044,-13.74583680276987,4.086107416894307,7.4715066,0.43519306,6906.215,7.3872,3.0405
2612493267443075200,331.02490031183424,-13.019669811413234,7.181826409214458,7.4789248,0.15407085,10104.963,1.7559,4.2918
2616734255590147200,329.75519510360283,-11.284989016597011,6.809329947632884,7.4828377,1.2708101,,,
2613827112486305408,332.32559949408557,-11.366393005515956,4.424735995221472,7.5228295,1.3363824,,,
6839344134475243904,330.84592626488643,-14.951783836293071,2.7986153575804784,7.565065,1.3537359,4848.064,18.0772,2.418
6840204433604467968,326.79314865957576,-14.51386358680472,11.165513364113814,7.5696063,0.5765996,6466.076,1.8695,4.0189
2668537471054688512,329.9122879387327,-6.27369266497716,2.4051520911724507,7.596409,1.3290887,4767.0645,19.0233,2.3546
6844928176075581952,326.08819797639893,-11.744470441682857,1.3661183265986767,7.602675,2.485712,,,
6839724698641955072,330.16270310586856,-14.164335657907356,14.486080590036163,7.6163473,0.65015984,6208.83,1.538,4.0706
2666352260413878784,326.7156705718061,-8.470360474863552,3.2546947121991026,7.6187696,1.23348,4693.057,12.5444,2.3446
2668389788603690752,329.05767371057664,-6.9799971348334955,2.155993755911885,7.6650195,-0.030241966,11672.36,2.4268,4.1767
2614369682819558784,334.7307039250767,-11.557230501305156,3.7880892459094215,7.703629,1.142324,5224.0327,9.4084,2.8416
2613155615823895808,333.1636274548009,-11.41118442760161,1.1489074537447597,7.7231536,3.1537027,,,
6844291249605548288,327.5477473838911,-11.343141681276496,1.925715073209129,7.7237773,1.4643216,4380.5615,27.3067,1.7575
6893352347494276736,324.8720873914306,-10.32750706156055,1.1929210037290525,7.7320104,2.2170496,,,
6845240643536278912,326.0742483045306,-10.77692157148003,1.2065568561092304,7.73702,2.007125,,,
2666724303366201856,327.76474228361707,-7.907413733068419,11.882056236510483,7.744575,0.6558299,6182.8843,1.7814,4.0588
2620827118904784640,331.2640607777694,-6.30254347050915,3.589526961861335,7.7611113,-0.045560837,10346.498,2.5501,3.905
2620524615768397312,330.3977639549825,-6.2129335971505135,3.4320816331521016,7.7968745,1.194087,4933.903,10.3796,2.6381
2666979978474103552,326.90470386827855,-7.666318902360364,3.266740662967021,7.801647,1.135942,,,
2615859559730415744,332.5915867977172,-9.38771478203762,3.065530197376508,7.805723,1.1419964,4924.534,11.2235,2.2097
2617242607919100800,329.9398969553447,-10.313494291724906,9.216724549349362,7.8126216,0.59237146,6423.281,2.0513,3.9427
2617591084385448704,330.53129037233026,-9.282332366406116,3.5994402573419815,7.84916,1.3971262,,,
2612863111371240064,333.62792324306383,-12.253614758399042,4.8190981557394945,7.8494024,1.0791883,,,
6844514175588011776,325.5019154520521,-12.249555414634672,5.600971312768212,7.8786097,0.3603425,7426.791,2.5699,3.863
6893390319301074944,325.1091310721626,-9.989562705861411,3.566494067839383,7.8897996,1.2381315,4801.4077,9.9513,2.6744
2619360920149263488,331.3852646327617,-7.695190839301069,9.7389674199773,7.900941,0.5967541,6455.3823,1.6218,4.0573
2613575599201686656,329.5737639062904,-12.102266143703075,2.8242491479487026,7.9124227,1.3365598,,,
2620605322498164608,331.6936036432747,-6.729424560498332,6.789458889853562,7.9952054,0.17952633,9640.374,1.5229,4.3613
2666846078573728384,328.6320354897388,-7.510615896444824,1.375345379275931,8.012166,1.916182,,,
6843985447933831936,328.7577914465385,-11.970255318247611,4.170102742156358,8.015103,0.4880991,6796.7217,3.4273,3.6147
2618459836010396288,330.1452876646875,-8.526184392992127,3.106593921194178,8.016055,1.1757636,,,
2666589102090422656,326.6836158725122,-8.007368598940348,6.331029639796773,8.021383,1.0283732,5131.7544,4.5113,3.179
6844094574462996608,327.01733374745027,-12.144485426486808,1.6232977833669746,8.021875,1.8032417,,,
2618660664385747200,328.08583529626696,-8.301712270791873,1.7925990263631915,8.02618,2.054268,,,
2666446131219446784,325.6174189607415,-8.465163726048154,8.086783549744203,8.034276,0.543118,6612.859,2.0222,3.9357
6839920961467943424,327.30261821167994,-15.120588994901803,5.505289263302671,8.045066,0.18457603,10149.484,1.7715,4.3123
2613682939024640256,331.1207867753351,-11.416689403042518,0.9072687286032918,8.045556,2.5436797,,,
2617435881447268864,329.74953538281784,-10.179834755228258,4.923791393735144,8.067762,1.3224139,4722.577,8.628,2.7345
6844230806529912576,327.5205017579536,-11.607338416050993,3.911731631690204,8.099751,1.0765247,4941.7935,6.4099,2.7675
6843329348729972224,326.32655456695363,-13.675909479163437,2.4504244527450036,8.125083,1.5327668,,,
6840950001271571072,329.22617686856995,-12.213805239188062,0.7825225813490533,8.136911,3.1871438,,,
6840096952047111552,328.3401696170364,-14.189632271875247,3.6890719540697603,8.140366,0.43125725,7149.2295,3.2862,3.7318
2600144274394447616,333.0495520075358,-14.22518328824874,4.503702876008145,8.149822,0.53145933,6729.7085,3.3485,3.6482
2617013119226904320,328.3399585178064,-10.255641061543354,4.171018530649901,8.175141,1.1617279,5442.1523,6.9139,3.0705
6893517690851155712,325.6809345715176,-9.633245670542987,9.735209637905786,8.179227,0.75100183,5876.92,1.9474,4.0432
6845434466820615552,325.8971225854515,-9.993341754809165,12.006776412862873,8.182867,0.58359575,6466.5835,1.3252,4.2422
6845281600344402688,325.04116914445353,-10.80060400594692,3.570748567449281,8.192853,1.2201285,,,
2619399987171864960,331.98012434462447,-7.353538392725804,2.98530394968686,8.198388,1.1725135,5160.979,9.3185,2.8494
6843448783180406272,326.4416235435841,-13.341907291782087,1.5809354461151919,8.236968,1.6198311,,,
6840674882846460544,329.4859274755661,-12.923964836921202,2.930532889657617,8.237947,1.2621155,,,
6845412648386670336,326.21825378089545,-10.213344365064966,1.340385763172876,8.241644,1.661459,4363.396,38.1085,1.0392
6844927866837934080,326.09996560033136,-11.773155789789444,1.8836673445355026,8.253922,1.2021523,,,
6839187591507349248,329.54960638766283,-15.09095669467395,2.0844816353693556,8.261764,1.588337,,,
2617464292655595776,329.77646392126786,-9.763359314713316,1.6419084582090693,8.267663,1.6550736,4418.129,29.5806,1.8843
2620087658679894784,330.70938360842183,-7.440093875872055,2.2342856958375243,8.271575,1.5675759,,,
6839372687417815296,329.82555384172093,-15.083817208214349,6.090728623380422,8.30051,0.40232658,,,
2618453891775728512,329.6680782945829,-8.475318719341741,2.397190107295063,8.336151,1.2091832,,,
2615785755012274048,332.9587514803383,-9.745300952547817,1.9203400823798622,8.344691,1.358746,,,
2617286347866128384,330.4601223941662,-9.874721138110736,,8.355232,0.94418955,,,
2618025318463812736,326.98189114552974,-9.86358041117158,2.5911866756971897,8.360164,1.07337,,,
6839595338522319872,329.79352751719546,-14.509654217036777,2.631503655210496,8.368361,1.1946192,,,
