source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff,radius,logg
2079784488001577600,296.2439176177008,45.13102484391075,21.14741161121059,2.9163165,0.2526536,,,
2135110401277424384,294.1105137988449,50.22227321404957,54.2702400241993,4.371612,0.5560627,6578.421,1.6174,4.1129
2129061678575412480,293.42337490541445,49.26226611867295,2.741387252580016,4.75964,2.7507732,,,
2078403295235690112,294.157642802423,44.69446773318099,24.260982911359434,4.92144,1.1000004,4932.597,5.3356,2.9311
2131342100048643584,285.36007079270075,46.934403659992824,25.783190288852335,4.96545,0.26363277,7802.5654,1.8806,4.0459
2079990268472754048,295.20963297185153,45.525473366269075,19.751908977169382,4.973558,0.55159664,6608.0796,3.3183,3.6679
2128253262651259904,292.55384519705706,46.147777198119975,3.7383590773111446,5.0131316,3.783356,,,
2135864391374790784,292.8303259224117,50.30690913344243,7.104254370835844,5.153431,1.419414,4805.524,21.5634,2.3077
2078059800932315008,295.17146881099677,43.07782313317831,2.60199664314861,5.229379,2.2744503,,,
2077737571001053312,293.6719378109121,42.41237254162279,5.755130091439285,5.2996554,0.11941862,7694.787,6.6246,2.978
2086614688589352320,296.8616365570033,47.907405919899276,2.7847829445905834,5.349056,2.0764084,,,
2130088038314195200,291.13773257797476,50.24135399351949,4.88204609636226,5.3687863,3.9182086,,,
2077959092540451456,294.8604894127043,42.81840847824098,6.168932850700845,5.383299,-0.047807217,10276.994,6.7349,3.3801
2086308474601847168,297.99609664167923,47.02732085168613,0.5038268019442613,5.5857744,-0.10369921,,,
2126062687590513408,290.98551035944104,43.38804352356306,7.423516173482593,5.6139517,1.078064,5066.456,12.2087,2.5158
2127789646700855040,289.2140419513524,47.00040363072439,23.81732650226097,5.8986073,0.6435528,6195.2007,2.0919,3.9464
2132637359106746880,289.6579478868345,49.56965248175413,7.254167087445477,5.9998903,1.2809796,,,
2102155082856009216,288.0725131249031,41.23764864227606,3.0363187652461474,6.0058713,2.5228753,,,
2080047236917822976,294.89397855844504,45.95754416351004,6.969127763492023,6.022548,1.062243,4976.7153,10.8296,2.5714
2078199335828818432,294.1350754735744,43.7060933219693,3.686411409338288,6.0669403,1.6416631,4069.3582,39.8761,1.1508
2132721025070364032,288.82985630598824,50.07112861111277,8.129784587239053,6.1378345,1.0765786,5205.7363,8.4164,2.9554
2086351939671499520,297.8308399599483,47.37730879490134,15.310284346976415,6.1380243,0.51100063,6734.1875,2.439,3.8461
2135122152307734912,293.98308824643595,50.23878033358657,6.1980394082906844,6.1853533,1.2142015,4992.031,12.4784,2.6423
2135001343467043200,294.486511141689,49.28503938050552,6.9201621703367024,6.202779,1.1549358,4875.71,10.838,2.5325
2130848625488789632,288.06547433443654,47.37499226941011,2.1760445992006128,6.2745833,1.1545095,4782.27,44.594,1.7643
2080615134673470848,295.36469739938923,47.32816129440844,1.936941020456702,6.3223658,2.2417512,,,
2132788541955849984,288.019487966497,49.85850904811307,39.58086000897815,6.3792667,0.8149748,5675.3115,1.1908,4.2367
2126627291112264192,291.4856807449534,44.930390090175784,6.280621088647093,6.4120073,1.167449,4842.279,11.0716,2.5699
2080239582734480256,296.46490485272403,46.48553365931927,2.5862061113105037,6.4429355,1.5917244,,,
2128948360157620224,294.1566145081791,48.51620069297799,3.560584206665211,6.4891577,1.6229258,4274.3267,29.7019,1.7656
