source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff,radius,logg
2099385000742174592,289.09203952219247,38.13376032883556,4.200507326242494,3.9654982,1.3728321,,,
2072979060791869568,297.64171395867913,38.7228856833424,4.570987853963305,4.2994523,2.1920218,,,
2099679223187100800,288.4395266225376,39.14595982166891,2.910665153856131,4.358041,-0.1904707,14083.148,8.7497,3.2993
2048824680109512320,296.06959462540806,37.354513389932144,11.049387851559324,4.6336026,1.099133,,,
2046564633962669184,292.94301589248624,34.45295263273132,4.234973096227361,4.6996293,-0.17377996,14283.802,6.4675,3.4769
2072156454306478336,297.6953252456522,37.82634476338958,1.6860421333384827,4.9091015,2.9025319,3610.486,250.9795,0.549
2050162545236012032,291.5380536682029,36.3179578830132,5.776487857883453,5.1330085,-0.12918043,,,
2098699038630265728,286.8255442851445,36.10013816033054,3.3932218582456466,5.168311,-0.12910509,,,
2077085633633144832,295.9380112665516,41.77315918691611,5.227537605136423,5.1750674,1.9052529,,,
2078059800932315008,295.17146881099677,43.07782313317831,2.60199664314861,5.229379,2.2744503,,,
2077737571001053312,293.6719378109121,42.41237254162279,5.755130091439285,5.2996554,0.11941862,7694.787,6.6246,2.978
2076422009650303232,296.2039264447437,40.716695136729605,3.3715439952077304,5.3045487,2.430438,,,
2077959092540451456,294.8604894127043,42.81840847824098,6.168932850700845,5.383299,-0.047807217,10276.994,6.7349,3.3801
2100382189073830528,287.0549487443183,39.154894916842885,1.8021007275379037,5.494231,3.4464016,,,
2126062687590513408,290.98551035944104,43.38804352356306,7.423516173482593,5.6139517,1.078064,5066.456,12.2087,2.5158
2073743839843579776,297.65550993874785,40.5997239089879,0.867265423409951,5.6359863,-0.046771526,,,
2072904019124529152,296.86577812663285,38.407611320110824,7.352831560245644,5.813859,-0.10645962,11521.579,2.8282,3.9264
2048062993431738496,294.42002773913015,35.02249044461849,2.1610575133868943,5.837091,1.7687936,4383.066,78.8086,1.3703
2073004864957474176,297.3646381582578,38.71010289973521,4.7842130810920676,5.884182,1.0718207,5724.5796,15.1656,2.5812
2102155082856009216,288.0725131249031,41.23764864227606,3.0363187652461474,6.0058713,2.5228753,,,
2048569387253206784,293.95129031374194,36.94453448569598,5.312337655214907,6.0108924,-0.07506609,11481.396,3.7836,3.7101
2073147419194199680,295.79489583488686,38.67171524083113,2.9694258498295745,6.035947,1.3229518,,,
2050159246700999040,291.49309704143275,36.18651926072927,1.167571269736727,6.0554123,2.7273788,,,
2051069711047203712,289.9121513252043,37.32972399624875,39.830505038079934,6.1277823,0.8400798,5582.124,1.4079,4.2238
2050206147745224832,291.0252538323199,36.4524427656201,9.629034942865175,6.1404176,1.2374191,4967.323,8.6462,2.835
2050627054537475968,287.4847830329026,35.66098785642478,3.2912440702069423,6.154325,1.4158401,,,
2100573882055721216,287.8465699049457,40.42898129146106,6.465111600876919,6.187998,0.12270546,,,
2051905889641367296,291.90165089530404,37.94117557118357,1.7800882225660812,6.225149,-0.047218323,28980.365,5.8347,4.0472
2048127486663030400,294.0310597098983,35.21365034060643,1.0707671827295795,6.2394624,1.639966,,,
2051256181345048832,289.7548434099077,37.44542948842687,5.179628062958768,6.2427406,0.016077042,9997.996,3.7493,3.65
2051430591382258560,292.6951313996403,36.228462634557786,5.007251217794603,6.253648,-0.010016441,,,
