source_id,x,y,z,brightness,colour,dist_from_planet,stellar_radius,temperature,lifestage
6177542931756695424,-117.01499740647593,-65.21094037830734,-70.14552015227005,6.282863003105001,1.1119828,131.88997949512546,8.9132,5090.3823,Giant
6164998500516764160,-11.699815403830645,-5.522605236330045,-8.880189200920867,12.847236796062024,1.0220695,266.4359733162133,,,Unknown
6168697669949261056,-53.02247297012768,-23.386338589491213,-36.51131109244782,9.178227957041942,0.4580679,213.85650525747954,1.8946,6930.3623,Other
6176876765149508992,-257.0610351541311,-144.38109938974364,-160.98328214730773,2.8629313432716494,1.5828447,57.090038207443015,30.4334,4357.359,Giant
6170091988132415232,-40.298868187195175,-22.02559438308553,-31.67918309012044,9.782520200750774,0.53757,226.36294199157368,1.6304,6616.89,Other
6172806235665052544,-88.1027804856823,-56.24456589923561,-61.86803241238653,7.356351128498425,0.18795633,161.01576796208244,2.2557,10151.613,Hot Star
6173738896402614272,-194.03797061652008,-109.96061019654343,-127.44303268574664,1.967640322660257,1.4755287,27.762649754356204,,,Unknown
6164057456002429440,-100.4983069341736,-49.81993783393543,-81.27291195915929,6.888627538333701,1.2378244,144.34465248177185,,,Unknown
6171667244697700992,-153.24756987971716,-84.31028787295342,-109.71690605301524,4.620649793254465,1.1439819,75.62007657557878,10.0419,5125.1665,Giant
6173405297702958976,-126.78436855207441,-70.21069417586227,-85.63530501917144,6.021756968308078,0.53342247,113.91336963039113,4.6368,6780.0444,Other
6122025428575067648,-208.46798765360901,-116.91459995362983,-166.76269868301125,0.6836298174496473,1.6409488,16.6787773513612,30.4154,4187.1606,Giant
6170904355426794112,-95.38616281930909,-51.969304566067585,-69.05680763460632,7.290193262021087,0.44928408,153.37960718841194,7.9525,6942.1284,Other
6121344830877846400,-141.82197719805896,-87.87641735894947,-118.97065397803603,4.862249526477848,1.133626,79.06124204429014,11.2002,4861.107,Giant
6171306192566836864,-146.81154795392106,-76.41471043993151,-106.11209184463871,5.152699962446528,1.3898687,85.65763725683885,12.8922,4825.2847,Giant
6171969129358847744,-64.29889983198787,-33.71092639716189,-43.97960078502967,8.79254314983589,0.3731885,197.2469201249132,1.8805,7276.36,Other
6168398430987525376,-206.05063844133363,-94.81516016282994,-147.92515873854046,1.43431677155316,-0.042262554,21.028313745559824,3.7449,9988.697,Hot Star
6173987008073741184,-191.19933739803264,-115.38757743438732,-124.10810552172433,2.4681452274345306,1.0513568,31.553022131756197,11.1128,5391.978,Giant
6124088455986033920,-160.39710881284313,-100.57868289158532,-123.19713435972368,4.045961847637565,1.1405005,57.55935024169717,11.5852,4812.2085,Giant
6120917876768748800,-187.0206293212555,-110.57492493664557,-158.893572833514,1.7972500315221627,0.09532595,24.17559720394068,4.2822,9863.454,Hot Star
6171161847306051200,-668.879467484454,-330.8601576306979,-489.6920943993402,6.212216496064559,2.3523264,610.8511361260049,,,Unknown
6171953530037601280,-49.644615052090224,-26.296246858034166,-34.184074147945424,9.636852063676805,0.6777334,216.34807620838257,1.9836,6092.065,Other
6175812369174809856,-108.678971456462,-49.75048645113789,-68.55984796602192,7.16582082814867,0.54569006,145.08252639978232,3.5723,6752.3643,Other
