source_id,x,y,z,brightness,colour,dist_from_planet,stellar_radius,temperature,lifestage
2106630885454013184,16.489281851512434,-66.96135578450873,66.47111964589273,3.814636182273695,2.4237096,187.01353762400757,,,Unknown
2099385000742174592,61.24901628906011,-176.95611466409662,147.00592211678398,0.5166880358610908,1.3728321,48.633577845906395,,,Unknown
2099679223187100800,84.27838120709119,-252.76782328956816,216.89135537124562,0.6917484275775592,-0.1904707,63.496419846988985,8.7497,14083.148,Hot Star
2131342100048643584,7.015122808389395,-25.53774372078891,28.33522203415989,8.95856098755819,0.26363277,243.94141780769317,1.8806,7802.5654,Hot Star
2104353693791933824,44.91015090659955,-189.5850320087093,169.3364339149914,0.3512136174684475,3.13808,29.554827430751715,,,Unknown
2104485016711846656,14.371813950434557,-58.87786169941055,53.81412359161687,7.185345744741856,1.1754031,201.67379313922456,9.9993,4912.6104,Giant
2103815448491466496,60.89162923010566,-225.99689201883746,201.2060688107563,0.16589540209175713,2.7485108,29.248517367193326,,,Unknown
2077737571001053312,51.50722868371217,-117.49306139956389,117.19315191209316,4.309550126626652,0.11941862,110.13460544131367,6.6246,7694.787,Hot Star
2100382189073830528,126.20177977300064,-411.37595758454705,350.37944104406563,3.955949213571676,3.4464016,273.2527747628935,,,Unknown
2126062687590513408,35.05897525645574,-91.40083461314427,92.53510846830393,5.820163151277709,1.078064,148.12645564242823,12.2087,5066.456,Giant
2100107208087937152,41.826066161910354,-161.6376717391399,131.698422371633,3.53811243134757,-0.10580778,72.79512502077452,4.1416,11921.585,Hot Star
2127789646700855040,9.423503402634365,-27.039276782445096,30.70699417062123,9.690890681603907,0.6435528,240.74854220885567,2.0919,6195.2007,Other
2104983267278926336,66.5334709618005,-279.9495353312189,267.41552257720707,3.20426809703729,1.9078798,111.85182151490032,,,Unknown
2102155082856009216,76.82992124998859,-235.44387183049457,217.09964441837235,1.7860476203921811,2.5228753,47.17239217296856,,,Unknown
2098654306550178560,38.56356775792677,-188.63240328566903,169.9913941579132,1.639478561916083,-0.17319632,33.784990834112705,4.4202,12855.837,Hot Star
2078199335828818432,80.18188534494196,-178.95485489062082,187.4341241222298,0.993460946048013,1.6416631,26.22408401974321,39.8761,4069.3582,Giant
2104876786449045504,43.034667023195475,-173.90853712055576,161.6536984334148,2.422960563836253,1.4400263,43.22362911347191,22.7817,4672.584,Giant
2103449001881575680,66.20174447064285,-252.45152987128637,224.31969579556485,2.5106237481012803,-0.21034956,63.42979824033214,4.7388,15576.969,Hot Star
2100573882055721216,36.084056814849674,-112.07562130296348,100.30840280620816,5.7782326393958625,0.12270546,128.07692787304555,,,Unknown
2104376989694932608,53.97806642779184,-233.24399225158788,210.9424817309272,1.8027431182986673,-0.0763526,41.11421299718945,5.2627,11136.363,Hot Star
2099498216086406784,81.71462167899695,-233.49656423218994,200.53160247666455,1.773332554953428,1.8914685,40.347428366356915,,,Unknown
2101000011531700480,37.08000698789999,-105.68693849589474,91.09048963206229,6.192059936547239,1.233737,138.72819980887087,,,Unknown
2105266735120562432,20.431694005623694,-93.42509990535025,91.49948258783863,6.620105837624621,0.99710417,150.86228359965264,6.2008,5919.8145,Giant
2100218568000743680,60.887633275879786,-230.43069728602765,194.5047684551897,1.4687432213462053,-0.23363447,31.83704618072551,3.747,16802.955,Hot Star
2126627291112264192,41.286607081020854,-104.88902373862338,112.4486209092529,5.87141506790161,1.167449,124.13063025860163,11.0716,4842.279,Giant
2104904514758214656,72.40893632307274,-298.81177939809663,282.01794787853686,4.014107868042339,3.0429869,135.854778838888,,,Unknown
2100917342000577408,76.57445324294302,-257.3396621002253,236.82127557330023,3.099779625212073,-0.21210098,75.76547290132686,4.419,14353.179,Hot Star
2051319849941809792,136.0615094076882,-386.5116205290409,315.6755706088757,4.782796005571984,2.3645053,236.9622492912706,,,Unknown
2101317839111655424,73.68717322399243,-214.83523247019465,193.01995749038477,0.5733229753499582,1.476583,19.04336684325008,,,Unknown
2105455919840116096,127.51095530569275,-434.4802183493546,410.25615209406766,5.209293223440331,1.8843355,328.5354166764105,,,Unknown
2100180394331169536,92.09532091900634,-361.9232057515892,300.24997043125524,4.657622659490931,2.0359178,198.63469504414323,,,Unknown
2101141023898417920,66.41721344197092,-181.3659033061426,161.64395630455198,2.239581778829181,0.98907995,33.77069939657132,13.3235,5286.5073,Giant
2117257184298759424,63.411484391869315,-308.4498525832966,299.46543599436137,4.3646386724725454,1.7493811,154.59280836424878,,,Unknown
2078263691619246976,57.47005895003017,-131.0250834765704,137.90458031567897,4.798254725093321,-0.031044006,86.02494585433432,2.9177,11572.951,Hot Star
2105320503811604352,40.66161380294349,-180.7257458444887,178.62239790339694,2.0660467557631925,1.4745479,31.481996196506625,24.6228,4300.0205,Giant
2125905152489733248,162.6878719502243,-386.9233877208733,400.22467235739424,5.23369490943754,4.368204,298.7086463386194,,,Unknown
2077629170330851072,41.50055859084398,-95.10021365580873,93.18832632422257,6.744482536503231,-0.013066769,143.89937261750023,2.2373,10477.783,Hot Star
2053396037133144704,112.97678428400503,-277.38758452355364,250.7937811270219,3.942741682498452,1.0424824,110.70117907223782,,,Unknown
2053025329916787968,92.71149689141026,-242.16194936213654,214.44212803318328,2.848450024271255,1.2794237,57.45238048273143,23.0684,4526.4814,Giant
