source_id,x,y,z,brightness,colour,dist_from_planet,stellar_radius,temperature,lifestage
2116931247820448128,19.287709230136095,-105.1328407742541,101.60861947217651,11.51767518779032,0.4861765,821.0940314587149,2.4961,6888.369,Other
2104573149441308800,86.80994270024753,-373.3007396894871,346.87763268971526,7.505956669977858,1.4255576,452.7033748640271,23.2707,4682.5625,Giant
2105839134002312448,33.030942334626204,-124.40424794024023,123.14438512593476,11.036778963736216,1.2899623,790.6419129440683,,,Unknown
2110279202471856256,46.60356580138308,-336.1407974194239,288.49516391215974,8.173900878804755,1.3022332,525.865379708436,,,Unknown
2112064568836187392,34.59007119689017,-279.9178612080008,271.6677743772548,8.661734358629172,0.21024942,577.8793425912022,4.5296,9382.46,Hot Star
2119265751522892928,54.69575101598062,-293.83621580381987,314.06521911324126,8.276917744459519,1.300518,535.5512851670488,19.0968,4488.185,Giant
2107379652871464448,49.68610483038065,-187.33615001381278,207.4989774788043,9.734522487014718,1.2000647,685.4152949337818,10.4938,4880.5225,Giant
2116703408395011072,139.04998379306994,-694.161449647082,641.4003512267678,0.8350596346031853,2.31002,38.279370151206614,,,Unknown
2118055257940506368,5.962324705706139,-43.108992715199285,43.53170088237965,13.688552254306106,0.7528744,907.0531134193111,1.4272,5858.427,Main Sequence
2120166904381372032,30.382377635807046,-209.39758363036194,230.40713882977843,9.473238271233848,1.2709436,656.7180758434685,,,Unknown
2117010687535146112,79.29279860142707,-445.77638069090955,424.0938236082836,6.6211168780219625,1.4527645,348.74009510898566,26.3066,4735.106,Giant
2119191019092394240,41.32085513855763,-202.31928812856336,218.59918643746315,9.606334079929782,0.23665571,668.1928811466333,,,Unknown
2106029040275684992,69.88300591279246,-228.08193819122994,230.6555076158756,9.29418360497505,-0.11994505,638.0335607135611,2.7188,12207.052,Hot Star
2107258981468500736,59.28826445171673,-237.18079301393195,256.6202867163188,9.078058623533513,1.3629141,614.7936669269252,14.4314,4817.802,Giant
2105728014608120320,36.141861077986036,-129.72383657541462,125.55814341355877,11.033850353193916,0.062472343,784.8195085099408,,,Unknown
2119062685470158208,29.205496522406598,-146.62119913896294,155.548105636144,10.609610387042437,0.057264805,752.9389218588133,2.099,10585.366,Hot Star
2120689722159910784,11.749109083188843,-73.02235851577296,84.65037017452437,12.318733841920968,0.40206623,856.5746791933577,1.6462,7233.58,Other
2098229139147976704,115.23540723642749,-570.6963863088879,483.36134398475633,5.275615062976668,2.1045141,222.77586651865653,51.1792,4901.509,Giant
2120252185251371520,16.06808564345782,-97.08418189795435,109.21919608124038,11.680687119972202,0.15971327,821.9319558480062,1.5266,9615.189,Hot Star
2107576740329516288,116.24211169158345,-487.42723899789075,541.4795374571404,5.469651115188409,1.5692425,235.7412843084285,,,Unknown
2115240336374260992,,,,,0.11849785,,,,Unknown
2103015828661317120,97.63154068242488,-298.18233194542773,300.22523095585194,8.420877472459926,1.498496,537.2231160444366,22.0117,4257.3413,Giant
2098411039602054528,39.026776920542595,-207.30455091541523,176.39933061511942,9.972506134038609,1.3037329,694.7115131463194,10.695,4635.3994,Giant
2130336012551073664,185.9935745066178,-602.272232432322,659.0570269562025,3.0372387504363285,1.9614882,93.99382020499795,,,Unknown
2117008969548214016,40.153871878967514,-227.14513501032357,215.73713469432548,9.553832934559686,1.082387,652.8790159463168,9.5027,5027.876,Giant
2120030255701583744,77.7746916441005,-441.2576599557368,516.7556114101197,6.135790460923548,2.5091562,292.76470906495655,,,Unknown
2107262142566397440,39.240054706643804,-157.64900753373763,171.27636206696036,10.444470646385275,0.029957294,732.8748395892876,2.191,10077.319,Hot Star
2103021875975277184,61.29192865885055,-188.79998057037506,190.95734815597575,10.007769493691239,0.036893368,694.4716189477333,2.2313,10267.306,Hot Star
2118767226078775936,19.97728703787363,-180.29349892653164,193.74597931481662,10.125050062092079,0.056629658,704.1698179845106,2.1061,13392.321,Hot Star
2118370920856603904,7.303850263004492,-66.66340980209343,70.09656455902352,12.782751951451207,0.5960822,871.8019153740352,1.6634,6429.9595,Other
2121200891987487872,13.396694470797918,-132.6371423081613,134.34250160682618,11.097243600775384,0.1733985,779.8596570440877,2.0541,8373.704,Hot Star
2117475987112019584,33.32294859532607,-169.88760160395816,172.46199698951736,10.39089658879285,0.52544355,724.1940167897889,3.6034,6841.494,Other
2111876311830720768,71.37976961185085,-524.7472087033167,503.5180252401704,5.631768632180503,1.7091899,240.97605952044088,45.0086,4653.6963,Giant
2103873722608387584,45.78939961450134,-167.48720735777388,153.15970299495964,10.577062978475514,0.057652473,737.8023548041759,2.0834,10090.373,Hot Star
2103509818617808512,93.65577490052728,-377.17754586902197,328.45242374051884,7.862768990683946,1.490933,463.088563252824,,,Unknown
2106755748741965696,53.68881581294254,-207.6667221893465,214.40463477401624,9.780032705715067,0.17073917,665.6485320521899,2.9683,9605.798,Hot Star
2104924649561800192,62.1389542043821,-254.08593777835932,240.27455262986928,9.26694900499133,1.2680855,613.8971305936074,12.7995,4592.849,Giant
2111015806542870656,79.08936836257357,-521.2341151733203,485.82953347422927,5.829702442661546,1.9834309,254.31687056426918,,,Unknown
2116896716283745792,106.9353393337959,-539.4767546237429,523.051290389579,5.302108411482015,1.8227649,209.86620009306128,,,Unknown
2110978521928761728,3.294088351968311,-19.66363625202004,18.375711270232735,15.797483823702338,1.0168247,941.4484299718172,,,Unknown
2102426078111737984,74.33171018536783,-242.96240235431247,226.5880351675552,9.432637098242614,1.1224194,630.0399976136542,9.9644,5067.9585,Giant
2110856720953756672,17.798993398866408,-116.83746466684246,104.80477302760403,11.651303944221489,0.6392884,810.905148598701,,,Unknown
2103507894472422656,57.69017378052587,-234.28213310589635,203.45675035871392,9.684877832742774,1.1238351,654.4279650896251,9.331,5026.264,Giant
2105342395263631488,53.81015197095409,-233.75968869696837,233.58781647517512,9.488807494502826,1.1819768,633.8407249863711,11.0408,4898.1304,Giant
2119328767283309056,57.38188045012687,-342.7430575483408,370.19604313740257,7.900950441216115,1.3229861,462.05414230358923,,,Unknown
2117303428207967488,42.13525790064669,-206.1634437287213,204.17064156077822,9.923136224704265,0.25514126,675.351632353677,2.9164,10473.424,Hot Star
2118352950713453824,5.639195155568101,-48.33208009289964,50.53809365633885,13.652202125078494,0.8105445,898.5460723248477,1.5145,5747.6143,Giant
