source_id,x,y,z,brightness,colour,dist_from_planet,stellar_radius,temperature,lifestage
2106630885454013184,16.489281851512434,-66.96135578450873,66.47111964589273,8.498161455385382,2.4237096,1616.508900611938,,,Unknown
2099679223187100800,84.27838120709119,-252.76782328956816,216.89135537124562,7.3615262025112616,-0.1904707,1369.9502435361776,8.7497,14083.148,Hot Star
2078403295235690112,11.99133176160707,-26.734765617198118,28.99000712191656,12.960883912879186,1.1000004,1671.015162594737,5.3356,4932.597,Giant
2131342100048643584,7.015122808389395,-25.53774372078891,28.33522203415989,13.140163216064376,0.26363277,1673.4239848316588,1.8806,7802.5654,Hot Star
2128253262651259904,71.08058918447347,-171.14861707758442,192.89989344610174,8.676336906204405,3.783356,1445.3068043297365,,,Unknown
2104353693791933824,44.91015090659955,-189.5850320087093,169.3364339149914,8.812381185187665,3.13808,1454.9964758280748,,,Unknown
2104485016711846656,14.371813950434557,-58.87786169941055,53.81412359161687,11.724749121849813,1.1754031,1631.2861244164487,9.9993,4912.6104,Giant
2078059800932315008,119.39731431567733,-254.06051735318843,262.4873126459575,7.924580295637728,2.2744503,1329.6383330355886,,,Unknown
2103815448491466496,60.89162923010566,-225.99689201883746,201.2060688107563,8.57277581136685,2.7485108,1404.364808415415,,,Unknown
2077737571001053312,51.50722868371217,-117.49306139956389,117.19315191209316,10.035906889490967,0.11941862,1538.8459746734798,6.6246,7694.787,Hot Star
2077959092540451456,49.988507701164274,-107.88576723791597,110.17740420378912,10.286900425650078,-0.047807217,1550.6373558354326,6.7349,10276.994,Hot Star
2100382189073830528,126.20177977300064,-411.37595758454705,350.37944104406563,7.095409920106222,3.4464016,1159.9966153030866,,,Unknown
2126062687590513408,35.05897525645574,-91.40083461314427,92.53510846830393,10.956835899898874,1.078064,1577.4920561407655,12.2087,5066.456,Giant
2127789646700855040,9.423503402634365,-27.039276782445096,30.70699417062123,13.896920447663803,0.6435528,1670.2043838419531,2.0919,6195.2007,Other
2104983267278926336,66.5334709618005,-279.9495353312189,267.41552257720707,8.564594136146784,1.9078798,1320.4083705826754,,,Unknown
2102155082856009216,76.82992124998859,-235.44387183049457,217.09964441837235,9.121992814539048,2.5228753,1383.1743901757186,,,Unknown
